P80 (micras),TONS/DIA  HUMEDAS,% HUMEDAD,TONS/DIA  SECAS,HORAS,TONS/Hr  SECAS,Gcab-Au,Gcab-Ag,Gcab-Pb,Gcab-Zn,Gcab-Cu,Gcab-Fe,Gcab-As,Gcab-Pb ox,Gcab-Zn ox,Gcab-PbS,Gcab-PbO,Gcab-ZnS,Gcab-ZnO,GC-Au,GC-Ag,GC-Pb,GC-Zn,GC-Cu,GC-Fe,GC-As,R-Au,R-Ag,R-Pb,R-Zn,R-Cu,R-Fe,R-As,GC-Pb ox,GC-Zn ox,GC-PbS,GC-PbO,GC-ZnS,GC-ZnO,COMPOSITO DÍA,,Gcu-Au,Gcu-Ag,Gcu-Pb,Gcu-Zn,Gcu-Cu,Gcu-Fe,Gcu-As,Rcu-Au,Rcu-Ag,Rcu-Pb,Rcu-Zn,Rcu-Cu,Rcu-Fe,Rcu-As,GCzn-Au,GCzn-Ag,GCzn-Pb,GCzn-Zn,GCzn-Cu,GCzn-Fe,GCzn-As,Rzn-Au,Rzn-Ag,Rzn-Pb,Rzn-Zn,Rzn-Cu,Rzn-Fe,Rzn-As,GPb-Au,GPb-Ag,GPb-Pb,GPb-Zn,GPb-Cu,GPb-Fe,GPb-As,RPb-Au,RPb-Ag,RPb-Pb,RPb-Zn,RPb-Cu,RPb-Fe,RPb-As,GPb-Pb ox,GPb-Zn ox,GPb-PbS,GPb-PbO,GPb-ZnS,GPb-ZnO
166,1638,2,1638,8,204.78,0.17,29,0.78,1.8,0.19,2.9,0.02,0.13,0.07,83.33,16.67,96.1,3.89,0.08,6,0.15,0.26,0.05,2.6,0.02,49.6,20.4,18.4,13.8,22.7,89.1,90.3,0.11,0.06,26.67,73.33,76.9,23.08,0.22,3.57,3.8,760,2.66,5.82,30.2,27,0.04,5.35,5.88,0.74,0.7,34.6,2.1,0.41,0.32,127,2.84,50.7,1.12,6.4,0.04,6.04,13.18,10.63,82.22,17.21,6.68,5.5,6,1694,54.5,5.78,4.82,6,0.08,38.99,60.49,70.19,3.23,25.49,2.15,3.79,1.62,0.06,97.03,2.97,99,1.04
164,1602,2,1572,8,196.48,0.17,30.28,0.85,1.88,0.18,3.3,0.03,0.12,0.06,85.88,14.12,96.8,3.19,0.13,6,0.13,0.28,0.05,3.1,0.03,55.04,18,14.6,14.2,28.7,90.2,91.3,0.11,0.06,15.38,84.62,78.6,21.43,0.12,1.9,9.75,799,4,10.8,26.6,26.3,0.04,5.23,3.04,0.57,0.7,17.89,0.97,0.15,0.41,140,1.64,50.9,1.06,6.9,0.04,5.38,13.02,5.72,80.25,17.45,6.22,3.77,6.2,1679,53.7,7.22,5.17,6.8,0.12,34.35,65.94,79.08,4.81,35.95,2.59,4.78,1.24,0.04,97.69,2.31,99.4,0.55
170,1671,2,1638,7,234.04,0.16,27.8,0.74,1.87,0.22,3.1,0.03,0.09,0.05,87.84,12.16,97.3,2.67,0.1,8,0.2,0.2,0.1,2.9,0,57.7,23.7,20.7,11.1,26.1,88.5,91.7,0.08,0.05,50,50,77,23,0.29,4.74,3.2,667,1.24,2.68,32.2,28.5,0.02,5.08,5.98,0.48,0.41,42.36,2.63,0.18,0.34,153,3.2,50.8,1.09,7,0.04,5.8,14.72,13.44,84.41,15.4,6.94,3.97,6.1,1914,51.6,8.08,3.79,6.4,0.14,31.39,55.59,65.39,4.05,16.16,1.91,4.19,1.16,0.06,97.75,2.25,99.3,0.74
167,1507,2,1477,8,184.63,0.16,42.7,0.92,1.86,0.23,3.3,0.03,0.1,0.05,89.13,10.87,97.3,2.69,0.06,3,0.11,0.19,0.05,3.2,0.03,33.81,7.66,11.4,9.74,20.73,89.97,91.5,0.08,0.04,27.27,72.73,78.9,21.05,0.27,3.93,6.8,992,3.8,4.94,30.4,25.4,0.04,10.7,7.08,1.1,0.71,35.21,1.99,0.34,0.1,147,2.66,52.8,1.12,6.2,0.04,1.79,11.95,8.78,86.17,14.78,5.55,3.88,6.8,2048,54.2,4.7,5.04,6.3,0.1,53.69,73.3,78.72,3.38,29.28,2.48,4.27,1.01,0.04,98.14,1.86,99.1,0.85
172,1580,2,1550,8,193.75,0.22,37,0.89,1.82,0.21,3.6,0.04,0.09,0.06,89.89,10.11,96.7,3.3,0.15,5,0.11,0.2,0.05,3.5,0.04,60.48,13.49,11.8,10.49,20.46,89.66,90.49,0.08,0.06,27.27,72.73,70,30,0.29,4.53,3,764,1.52,4.96,30.4,26,0.02,3.7,6.31,0.5,0.8,42.32,2.04,0.14,0.5,137,2.56,51.6,1.01,7.8,0.08,5.97,10.94,8.13,80.12,13.59,5.91,5.36,5,1734,50.1,11.06,3.51,6.3,0.12,29.85,69.26,79.57,8.59,23.63,2.39,4.02,0.96,0.05,98.08,1.92,99.5,0.45
172,1505,2,1475,8,184.38,0.18,37,0.96,1.82,0.25,3.2,0.03,0.07,0.06,92.71,7.29,96.7,3.3,0.09,7,0.13,0.16,0.04,2.9,0.03,44.03,17.48,12.85,8.34,15.19,84.52,87.31,0.08,0.05,38.46,61.54,68.8,31.25,0.4,5.87,3.8,811,2.74,3.42,31.5,27.6,0.02,7.79,8.48,1.13,0.75,50.1,3.37,0.24,0.56,119,2.46,47.7,1.03,9.3,0.08,9.19,9.96,8.15,83.39,13.11,9.09,7.81,5,1610,49.4,9.04,3.57,6.5,0.1,39,64.08,77.86,7.52,21.61,3.02,4.64,0.8,0.06,98.38,1.62,99.3,0.66
161,1637,2,1606,8,200.79,0.16,36.3,0.98,1.91,0.21,3,0.02,0.09,0.05,90.82,9.18,97.4,2.62,0.06,6,0.11,0.24,0.05,2.8,0.02,35.21,14.38,10.68,11.96,20.84,87.21,82.43,0.07,0.04,36.36,63.64,83.3,16.67,0.2,3.2,1.7,638,1.46,2.87,32.8,27.5,0.02,2.09,3.2,0.3,0.3,31.11,1.79,0.17,0.35,117,2.08,50.6,0.92,7.2,0.06,6.7,9.15,6.59,82.26,13.6,7.32,8.07,5.9,1891,52.5,6.81,4.7,7.3,0.14,55.99,73.27,82.43,5.49,34.44,3.68,9.33,0.77,0.03,98.53,1.47,99.6,0.44
172,1633,2,1602,8,200.27,0.16,41.3,1.11,1.94,0.25,3,0.03,0.11,0.04,90.09,9.91,97.9,2.06,0.07,8,0.16,0.22,0.05,2.8,0.03,43.07,17.95,13.66,10.75,17.82,86.15,88.9,0.08,0.04,50,50,81.8,18.18,0.42,6.67,1.2,671,3.1,2.52,32.3,27.5,0.02,3.25,6.62,1.16,0.54,53.82,3.72,0.26,0.24,121,3.18,49.2,0.93,7.2,0.06,5.2,9.56,9.57,84.68,12.42,7.8,6.26,5.1,1900,57.3,5.34,2.72,4.9,0.1,48.49,65.87,75.61,4.03,15.94,2.33,4.58,0.7,0.03,98.78,1.22,99.4,0.56
166,1690,2,1659,8,207.41,0.23,44,1.1,1.88,0.29,3.2,0.02,0.07,0.06,93.66,6.34,96.8,3.19,0.1,4,0.16,0.16,0.07,3,0.02,44.64,9.83,13.72,8.05,23.16,86.5,85.69,0.06,0.05,62.5,37.5,68.7,31.33,0.36,5.89,2.2,636,3.02,2.72,30.7,27.6,0.02,3.69,5.86,0.97,0.51,37.6,2.99,0.32,0.39,155,2.36,48.8,1.11,6,0.04,5.95,13.02,6.92,83.96,12.38,5.91,5.86,5.4,1530,48.2,7.83,4.34,8.4,0.1,45.72,71.29,78.39,7.47,26.86,4.59,8.13,0.81,0.04,98.32,1.68,99.5,0.51
157,1176,2,1152,7.33,157.14,0.25,48.4,1.19,2.26,0.25,3.4,0.03,0.17,0.1,85.71,14.29,95.6,4.42,0.11,6,0.21,0.2,0.07,3.2,0.03,36.22,11.55,16.58,8.31,27.14,86.73,87.35,0.16,0.11,23.81,76.19,45,55,0.12,1.34,2.8,608,2.64,6.28,28.6,26.8,0.06,1.14,1.44,0.26,0.32,13.26,0.9,0.22,0.46,180,2.68,47.7,1.32,6,0.04,6.33,14.48,8.84,82.85,20.72,6.8,4.87,7.9,1741,43.5,9.47,4.78,9.5,0.12,56.31,72.53,74.33,8.52,38.88,5.57,7.56,0.81,0.05,98.14,1.86,99.5,0.53
